,pretty_formula,bandgap,cell_length_a,cell_lentgh_b,cell_lentgh_c,cell_angle_alpha,cell_angle_beta,cell_angle_gamma
1820,Cr2Bi28O47,1.9260999999999995,8.86324900,8.87671661,17.12937181,90.10120184,90.43196589,90.31671016
1821,Sr5Li25La7(BiO6)8,1.9155000000000002,11.61383143,11.54710639,11.59260907,109.71164068,108.82509662,109.80694822
1822,Ca10La6Mg3Ti13O48,1.9174999999999995,5.49509500,5.56208916,31.18936076,89.86994677,89.96937855,89.92993173
1823,Ba2La2MgTi3O12,1.9234,5.66086000,5.66540734,27.58879237,90.10834197,89.94881574,119.86431874
1824,Li7Zr3Nb(TeO6)4,1.915,5.26610100,5.53573144,34.71059395,92.43400749,90.00297946,118.36488486
1825,Na3Sr4La3Ti10O30,1.9372000000000003,5.54360800,5.54882950,19.90459225,97.93838560,97.92666537,90.43714451
1826,Ag3H13SeN4O5,1.9386999999999999,6.53821900,11.89814600,14.74610100,90.00000000,90.00000000,90.00000000
1827,KH2I3O,1.9125,10.17997700,4.69073900,9.77311943,63.68517177,90.00000000,90.00000000
1828,Ba2H6Ru,1.9344999999999999,5.71243709,5.71243709,5.71243709,60.00000000,60.00000000,60.00000000
1829,RbH2N,1.9109,4.22672800,4.88270200,6.46361511,81.49359282,90.00000000,90.00000000
1830,NiH10C4(SN4)2,1.9160000000000001,8.50605386,8.50605386,9.20461957,71.39701423,71.39701423,56.60723972
1831,ScPS4,1.9169000000000003,6.26745100,6.57324897,7.52471176,87.24963624,88.87848710,80.91468314
1832,LaGaS2O,1.9331999999999994,5.59694600,5.81315500,11.55035100,90.00000000,90.00000000,90.00000000
1833,NaSr3NdTi5O15,1.9217000000000004,20.16092064,20.16092064,20.16092064,164.27680126,164.27680126,22.30687113
1834,Rb2U2WO10,1.9222000000000001,29.09314200,8.41571500,10.95468752,57.28866814,90.00000000,90.00000000
1835,Li3V2(PO4)3,1.9338000000000002,8.75528355,8.75528355,8.73975671,60.77142201,60.77142201,59.68615684
1836,LiCrP2O7,1.9381999999999997,13.44956000,5.04158100,9.50203015,58.57778139,90.00000000,90.00000000
1837,La2Si2O7,1.928,8.59356500,6.53473400,15.74548018,89.12473366,90.00000000,90.00000000
1838,Cd(AsO3)2,1.9348999999999998,4.92850206,4.92850206,4.98532500,90.00000000,90.00000000,120.00000076
1839,MoO3,1.9184,5.47523100,5.65551100,7.28723916,89.40710331,90.00000000,90.00000000
1840,Na10Zn7Sn7H24(S13O6)2,1.9307,12.77243794,12.77243794,12.77243795,59.96478014,59.96478014,59.96478038
1841,RbLi2(H2N)3,1.9381,5.37618500,6.98176256,7.00897345,101.61352576,90.13073701,90.17497910
1842,TeH18(Br3O4)2,1.9131,9.88300700,7.72754700,14.05407482,59.39441157,90.00000000,90.00000000
1843,CoH6C2S2N2O3,1.9187999999999998,7.01356084,7.01356084,10.64672175,88.79131069,88.79131069,51.36104832
1844,Ca2V3Co2AgO12,1.9168999999999996,10.94507554,10.94507554,10.94507554,109.39469350,109.39469350,109.62438356
1845,KVH2SO7,1.9434,4.72160400,10.86869600,11.66718200,90.00000000,90.00000000,90.00000000
1846,Ba2Na2O3,1.9318,7.18098200,7.18098200,11.10306500,90.00000000,90.00000000,90.00000000
1847,V2Ge2O7,1.9212000000000002,5.59561028,5.59557279,10.08593070,103.19397957,76.80621254,82.99112316
1848,Li4Co7(OF7)2,1.9331999999999998,6.20193554,6.19164764,10.58859414,91.01050725,71.79392711,121.49368461
1849,CeZr7O16,1.9390000000000005,6.94138300,7.48272458,7.50368183,90.15032429,116.38887651,116.43542580
1850,LiMn2F7,1.9267,5.53262500,5.26015900,9.83247219,79.62183987,90.00000000,90.00000000
1851,Li3NiOF3,1.9215,2.90949338,16.88782488,5.81896131,99.92056635,90.00019495,90.00002180
1852,CeZr11O24,1.9395000000000002,6.90092500,7.48261061,9.74339839,93.47239831,91.55057566,116.31371654
1853,Li8FeCo3O8,1.9241,5.36866000,5.51275601,6.99770806,89.83236371,89.43441088,89.17389035
1854,Fe4OF7,1.9342000000000001,7.61096292,7.61096292,6.68309800,90.00000000,90.00000000,129.13287822
1855,LiVP2(HO4)2,1.9417999999999997,5.38461100,7.96638700,6.93609600,89.99981563,89.99875392,89.99901427
1856,Li3Fe3(SnO5)2,1.9135,5.21500300,5.35059568,8.14230861,74.42223163,74.87446779,77.25604655
1857,Li4NiOF4,1.9211,2.91190745,11.64576232,11.36684431,112.59038656,97.36303489,90.00221595
1858,LiVCoO4,1.9385000000000001,5.20290063,5.20264510,6.30451401,89.90410208,89.91177755,66.72254353
1859,Li6NiOF6,1.9243000000000001,2.90337549,14.59594513,5.80674109,95.70700386,90.00012559,84.29285349
1860,Li3VF8,1.9233,5.84853892,5.84853892,5.59875712,72.07798121,72.07798121,106.03276284
